CREDIT_UTILIZATION_RATIO,AGE,BANK_TENURE,MONTHLY_INCOME
72.35588888195669,47.84,11.81,7683187.12
38.03894530734214,28.15,1.0,88080.42
11.197967488461622,49.18,20.38,196779.82
101.4926600754555,38.36,14.23,44466.64
2.6859833079167,49.44,21.54,1023528.21
194.61859030891364,34.93,7.71,324999.28
192.0064006193626,32.05,9.69,87077.17
118.07884519711298,39.6,9.66,71219.24
84.24124503891122,30.47,1.57,0.47
-0.0006305458477767,69.66,15.85,13001.66
96.6153860513304,32.71,0.32,14999.71
49.54262714194924,56.02,13.65,20000.02
103.18316582496504,42.76,9.73,62998.76
-0.3694312398896406,35.44,1.0,26429.17
34.35935364043202,30.78,1.0,422063.05
29.655614990002228,39.96,1.0,49998.96
28.659461877765025,51.13,23.22,8351240.81
3.8478893102594114,39.12,8.92,10001.12
2.368324912622533,52.98,15.86,175001.98
44.99322717244069,34.77,14.11,236440.51
-5.073766305324729,62.77,11.77,387611.84
42.58736874495173,26.13,0.4,231153.2
69.28217353956185,32.25,1.0,439550.96
91.1891680205168,34.5,7.41,32296.13
17.982517735180952,49.03,22.44,86630.43
11.365357857351723,51.65,22.06,582922.09
-0.0789022618648401,64.37,7.81,99999.37
-0.0002166671361121,43.47,1.0,103961.88
0.000519997296014,58.63,7.82,19903.21
-0.0003939409458279,25.85,1.0,58593.16
-0.000133630468103,45.35,18.2,249012.98
37.500289061163095,38.96,1.0,149999.96
8.339297267945721,30.04,1.0,56740.58
67.50012975435264,30.13,9.92,62799.34
44.068519290300415,35.58,8.11,80953.37
0.0003673455893427,39.54,1.0,81998.54
7.836210042442969,31.31,1.0,21999.31
159.26058602542685,43.57,1.0,67729.95
85.55986623857382,23.24,1.0,127910.6
13.13583952616616,53.62,24.0,125879.34
0.0030807131699477,24.69,0.27,19998.69
-0.0043501892332316,24.81,1.0,22999.81
-0.0018518285325295,67.91,16.26,42000.91
21.264809823888484,26.43,1.0,29524.91
82.22788615657332,32.06,12.46,39999.06
29.73550187010547,26.97,1.0,22205.53
67.29766034059091,34.46,11.83,67795.69
0.0006199961560238,46.32,1.0,62486.39
25.07363613648648,63.0,15.68,125000.0
97.26477595589157,33.07,10.98,119455.28
-0.0003760014137653,46.98,1.0,125298.54
89.56419799687386,30.19,0.83,946782.69
124.85053697687944,33.9,8.47,65753.78
3.817736852208392,44.38,16.87,290143.37
39.95294048787632,46.16,20.38,73001.16
5.413799687790127,39.45,14.39,91304.46
38.61386381537674,40.8,19.72,384111.75
60.045422878330456,32.06,12.9,16250.06
